Player,Team,Position,GP,MIN,Points,FGM,FGA,Shooting %,3PM,3PA,3 Point %,FTM,FTA,Free Throw %,Rebounds,Assists,Steals,Blocks,Turnovers,DD2,TD3,PER
Jimmy Butler,MIA,SF,52,33.6,21.5,7,14.2,49.7,0.5,2,24.5,6.9,8,86.3,6.9,7.1,2.1,0.3,2.1,17,4,26.57
Kawhi Leonard,LAC,SF,52,34.1,24.8,8.9,17.5,51.2,1.9,4.9,39.8,5,5.7,88.5,6.5,5.2,1.6,0.4,2,9,0,26.09
Fred VanVleet,TOR,SG,52,36.5,19.6,6.5,16.7,38.9,3.3,9.2,36.6,3.3,3.7,88.5,4.2,6.3,1.7,0.7,1.8,5,0,16.88
James Johnson,DAL,PF,51,20.5,7.2,2.9,6.4,44.6,0.6,2.4,25.8,0.9,1.5,59.2,3.5,1.9,0.8,0.8,1.1,0,0,11.41
Danilo Gallinari,ATL,PF,51,24,13.3,4,9.3,43.4,2,5,40.6,3.2,3.4,92.5,4.1,1.5,0.6,0.2,0.8,2,0,16.37
Sterling Brown,HOU,SF,51,24.1,8.2,2.9,6.6,44.8,1.8,4.2,42.3,0.5,0.6,80.6,4.4,1.4,0.7,0.2,0.8,2,0,11.1
Lauri Markkanen,CHI,PF,51,25.8,13.6,4.9,10.2,48,2.3,5.8,40.2,1.5,1.8,82.6,5.3,0.9,0.5,0.3,1,2,0,15.25
LaMelo Ball,CHA,PG,51,28.8,15.7,5.7,13.2,43.6,1.8,5.1,35.2,2.5,3.2,75.8,5.9,6.1,1.6,0.4,2.8,7,1,17.61
Mike Conley,UTAH,PG,51,29.4,16.2,5.6,12.5,44.4,2.7,6.6,41.2,2.4,2.8,85.2,3.5,6,1.4,0.2,1.9,6,0,19.26
Joel Embiid,PHI,C,51,31.1,28.5,9,17.6,51.3,1.1,3,37.7,9.2,10.7,85.9,10.6,2.8,1,1.4,3.1,31,0,30.32
PJ Dozier,DEN,SG,50,21.8,7.7,3,7.1,41.7,0.9,3,31.5,0.8,1.3,63.6,3.6,1.8,0.6,0.4,0.9,0,0,10.47
Grayson Allen,MEM,SG,50,25.2,10.6,3.5,8.3,41.8,2.1,5.5,39.1,1.6,1.8,86.8,3.2,2.2,0.9,0.2,1,0,0,12.83
Derrick Rose,DET,PG,50,25.6,14.7,5.7,12.2,47,1,2.6,38.8,2.2,2.5,86.6,2.6,4.2,1,0.4,1.6,1,0,18.38
Goran Dragic,MIA,PG,50,26.7,13.4,4.8,11.1,43.2,1.8,4.9,37.3,2,2.4,82.8,3.4,4.4,0.7,0.2,2.4,1,0,13.07
Maxi Kleber,DAL,PF,50,26.8,7.1,2.3,5.5,42.2,1.7,4.2,41,0.7,0.7,91.9,5.2,1.4,0.5,0.7,0.6,0,0,10.59
Aaron Gordon,ORL,PF,50,27.7,12.4,4.6,10,46.3,1.2,3.5,33.5,1.9,3,65.1,5.7,3.2,0.7,0.7,1.9,3,1,14.59
Karl-Anthony Towns,MIN,C,50,33.8,24.8,8.5,17.5,48.6,2.4,6.3,38.7,5.3,6.2,85.9,10.6,4.5,0.8,1.1,3.2,33,0,23.13
Alec Burks,NY,SG,49,25.6,12.7,4.3,10.2,42,2.1,5,41.5,2.1,2.4,85.6,4.6,2.2,0.6,0.3,1,3,0,14.88
Cody Zeller,CHA,C,48,20.9,9.4,3.8,6.8,55.9,0.1,0.6,14.3,1.8,2.5,71.4,6.8,1.8,0.6,0.4,1.1,8,0,18.22
Marcus Smart,BOS,PG,48,32.9,13.1,4.2,10.6,39.8,1.9,5.9,33,2.7,3.4,79,3.5,5.7,1.5,0.5,2,3,0,13.8
Jamal Murray,DEN,PG,48,35.5,21.2,7.9,16.5,47.7,2.7,6.6,40.8,2.8,3.2,86.9,4,4.8,1.3,0.3,2.3,1,0,18.33
Tony Snell,ATL,SF,47,21.1,5.3,1.9,3.6,51.5,1.3,2.3,56.9,0.2,0.2,100,2.4,1.3,0.3,0.2,0.4,0,0,9.48
Monte Morris,DEN,PG,47,25.4,10.2,4,8.2,48.1,1.1,2.9,38.1,1.2,1.6,79.5,2,3.2,0.7,0.3,0.7,0,0,14.04
Cole Anthony,ORL,PG,47,27.1,12.9,4.7,11.7,39.7,1.2,3.7,33.7,2.3,2.8,83.2,4.7,4.1,0.6,0.4,2.3,0,0,12.16
